ticker,date,period_ending,estimate,reported,surprise,surprise%
HTBI,2021-07-29,Jun-21,0.43,0.5,0.07,16.28
HTBK,2021-07-22,Jun-21,0.18,0.15,-0.03,-16.67
HTH,2021-07-22,Jun-21,1.09,1.21,0.12,11.01
HTLD,2021-07-19,Jun-21,0.26,0.26,0,0
HTLF,2021-07-26,Jun-21,1.28,1.41,0.13,10.16
HUBB,2021-07-27,Jun-21,2.15,2.36,0.21,9.77
HUBG,2021-07-29,Jun-21,0.71,0.78,0.07,9.86
HUBS,2021-08-04,Jun-21,0.32,0.43,0.11,34.38
HUM,2021-07-28,Jun-21,6.86,6.89,0.03,0.44
HUN,2021-07-30,Jun-21,0.82,0.86,0.04,4.88
HURN,2021-07-29,Jun-21,0.46,0.69,0.23,50
HVT,2021-07-27,Jun-21,0.66,1.21,0.55,83.33
HWC,2021-07-20,Jun-21,1.15,1.37,0.22,19.13
HWKN,2021-07-29,Jun-21,0.7,0.79,0.09,12.86
HXL,2021-07-26,Jun-21,0.01,0.08,0.07,700
HZNP,2021-08-04,Jun-21,0.91,1.62,0.71,78.02
HZO,2021-07-22,Jun-21,2.1,2.59,0.49,23.33
IAA,2021-08-03,Jun-21,0.53,0.69,0.16,30.19
IAC,2021-08-04,Jun-21,-0.32,-0.11,0.21,65.63
IART,2021-07-28,Jun-21,0.67,0.79,0.12,17.91
IBCP,2021-07-29,Jun-21,0.7,0.56,-0.14,-20
IBKR,2021-07-20,Jun-21,0.83,0.82,-0.01,-1.2
IBM,2021-07-19,Jun-21,2.25,2.33,0.08,3.56
IBP,2021-08-05,Jun-21,1.41,1.59,0.18,12.77
IBTX,2021-07-26,Jun-21,1.32,1.35,0.03,2.27
ICAD,2021-08-05,Jun-21,-0.08,-0.11,-0.03,-37.5
ICE,2021-07-29,Jun-21,1.16,1.16,0,0
ICFI,2021-08-03,Jun-21,0.98,1.19,0.21,21.43
ICHR,2021-08-03,Jun-21,0.85,0.9,0.05,5.88
ICPT,2021-07-29,Jun-21,-1.24,-0.33,0.91,73.39
ICUI,2021-08-04,Jun-21,1.64,1.88,0.24,14.63
IDA,2021-07-29,Jun-21,1.24,1.38,0.14,11.29
IDCC,2021-08-05,Jun-21,-0.25,0.39,0.64,256
IDEX,2021-08-16,Jun-21,-0.01,-0.02,-0.01,-100
IDXX,2021-07-30,Jun-21,2.01,2.34,0.33,16.42
IDYA,2021-08-10,Jun-21,-0.07,-0.33,-0.26,-371.43
IEA,2021-07-28,Jun-21,0.21,0.12,-0.09,-42.86
IEX,2021-07-27,Jun-21,1.62,1.61,-0.01,-0.62
IFF,2021-08-05,Jun-21,1.51,1.5,-0.01,-0.66
IGMS,2021-08-09,Jun-21,-1.21,-1.16,0.05,4.13
IGT,2021-08-03,Jun-21,0.26,-0.48,-0.74,-284.62
IHRT,2021-08-05,Jun-21,-0.12,-0.22,-0.1,-83.33
IIIV,2021-08-09,Jun-21,0.28,0.26,-0.02,-7.14
IIPR,2021-08-04,Jun-21,1.63,1.64,0.01,0.61
IIVI,2021-08-10,Jun-21,0.76,0.88,0.12,15.79
ILMN,2021-08-05,Jun-21,1.36,1.87,0.51,37.5
ILPT,2021-07-28,Jun-21,0.47,0.29,-0.18,-38.3
IMAX,2021-07-27,Jun-21,-0.27,-0.12,0.15,55.56
IMGN,2021-07-30,Jun-21,-0.18,-0.15,0.03,16.67
IMVT,2021-08-09,Jun-21,-0.3,-0.31,-0.01,-3.33
IMXI,2021-08-04,Jun-21,0.3,0.39,0.09,30
INBK,2021-07-21,Jun-21,1.21,1.11,-0.1,-8.26
